ID_GRUP,ID_CREATOR,NUME_GRUP,DESCRIERE
1,15,Code Wizards,"Grup de programare pentru schimb de idei și rezolvarea problemelor."
2,22,Literary Legends,"Pentru iubitorii de literatură, discuții despre autori și opere."
3,61,Math Maratoners,"Locul pentru discuții de matematică, teoreme și pregătire pentru concursuri."
4,4,History Buffs,"Pentru fascinații de istorie, partajare de resurse și dezbateri istorice."
5,1,Digital Designers,"Grup de design grafic și web, focus pe proiecte practice."
6,19,Algebra Allies,"Dedicat algebrei, de la ecuații la teoria grupurilor."
7,72,Poetry Pals,"Spatiu pentru poeți, scriere, critică și discuții despre poezii."
8,99,Ancient Civilizations,"Explorarea civilizațiilor antice, de la Egipt la Roma."
9,42,Programming Prodigies,"Pentru programatori tineri, focus pe algoritmi și structuri de date."
10,67,Calculus Crew,"Focus pe calcul diferențial și integral pentru studenți și elevi."
