ID_PROBLEMA,ID_PROFESOR,DESCRIERE,DIFICULTATE,DISCIPLINA
1,17,Calculati derivata functiei f(x) = 3x^2 - 2x + 1.,Mediu,Matematica
2,29,"Determinati complexitatea timpului algoritmului de sortare bubble sort.",Usor,Informatica
3,74,Detaliati cauzele si consecintele Revolutiei de la 1848 in tarile romane.,Mediu,Istorie
4,71,"Analizati tema si viziunea despre lume in poezia "Luceafarul" de Mihai Eminescu.",Dificil,Litere
5,74,Descrieti principalele cauze ale Primului Razboi Mondial.,Mediu,Istorie
6,65,"Rezolvati ecuatia de gradul 2: x^2 - 5x + 6 = 0.",Usor,Matematica
7,29,Implementati o functie recursiva pentru calculul factorialului unui numar.,Mediu,Informatica
8,59,"Comentati caracterizarea personajului principal din romanul "Morometii".",Dificil,Litere
9,11,Explicati impactul Revolutiei Industriale asupra societatii secolului XIX.,Mediu,Istorie
10,8,"Demonstrati convergenta sirului an = 1/n.",Usor,Matematica
11,56,Construiti un algoritm pentru gasirea celui mai scurt drum intr-un graf.,Dificil,Informatica
12,35,"Analizati figura stilistica predominanta in poezia "Plumb" de George Bacovia.",Mediu,Litere
13,98,Discutati despre formarea statelor mediuvale romanesti.,Usor,Istorie
14,89,"Calculati limita la infinit a functiei f(x) = (3x^3 - x^2 + 2) / (2x^3 + 3x - 1).",Dificil,Matematica
15,80,Descrieti principiul de functionare al unui sistem de operare.,Usor,Informatica
16,47,"Explicati semnificatia titlului romanului "Ion" de Liviu Rebreanu.",Mediu,Litere
17,53,Prezentati principalele evenimente din perioada interbelica.,Dificil,Istorie
18,89,Integrati functia f(x) = e^x * sin(x).,Dificil,Matematica
19,29,Explorati conceptul de mostenire in programarea orientata obiect.,Mediu,Informatica
20,35,"Analizati conceptul de "neomodernism" in literatura romana.",Usor,Litere
21,8,Integrati functia g(x) = x^2 * e^(-x).,Mediu,Matematica
22,29,Analizati eficienta algoritmului quicksort.,Usor,Informatica
23,71,"Identificati temele principale din ""Maitreyi"".",Mediu,Litere
24,53,Explicati rolul Congresului de la Viena.,Usor,Istorie
25,17,Aflati solutia inecuatiei x^3 - 3x > 0.,Usor,Matematica
26,29,Descrieti un algoritm de hashing eficient.,Mediu,Informatica
27,71,"Discutati stilul lui Caragiale in ""O scrisoare pierduta"".",Dificil,Litere
28,98,Analizati efectele Reformei Protestante.,Mediu,Istorie
29,17,"Calculati aria sub graficul functiei f(x) = sin(x), x ∈ [0, π].",Usor,Matematica
30,80,Creeaza o aplicatie CRUD simpla in Python.,Usor,Informatica
31,47,"Interpretati simbolismul in ""Lacul"" de Eminescu.",Mediu,Litere
32,11,Descrieti cauzele Revolutiei Americane.,Usor,Istorie
33,65,Demonstrati identitatea lui Euler pentru poliedre.,Dificil,Matematica
34,80,Explicati modelul MVC in dezvoltarea web.,Mediu,Informatica
35,80,"Analizati naratiunea in ""Ultima noapte de dragoste"".",Dificil,Litere
36,11,Prezentati impactul descoperirilor geografice.,Mediu,Istorie
37,89,Studiati seria Taylor pentru e^x.,Mediu,Matematica
38,56,Analiza complexitatii algoritmului merge sort.,Mediu,Informatica
39,35,"Tematica iubirii in ""Floare albastra"".",Usor,Litere
40,53,Sumarizati evenimentele Revolutiei Franceze.,Mediu,Istorie
